place,link,rating,city,category,fee,alamat,deskripsi
Penglipuran Village,"https://www.google.com/maps/place/Penglipuran+Village/@-8.4222473,115.359306,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2196eace4f4a9:0x3319169adf0c3419!8m2!3d-8.4222473!4d115.359306!16s%2Fg%2F11g6htx9w5?authuser=0&hl=en","4,50",Bali,Sejarah,50000,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",
Banjar Hot Spring,"https://www.google.com/maps/place/Banjar+Hot+Spring/@-8.210536,114.967053,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f62183e68d4d7:0xd6004ccdd7930d5e!8m2!3d-8.210536!4d114.967053!16s%2Fg%2F1q62gc8c0?authuser=0&hl=en","4,50",Bali,Alam,45000,"Jalan Banjar, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152",
Bali Pulina,"https://www.google.com/maps/place/Bali+Pulina/@-8.4227455,115.2788239,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd222990001f90b:0x46117dc3c84b0af2!8m2!3d-8.4227455!4d115.2788239!16s%2Fg%2F11bc7r5jvk?authuser=0&hl=en","4,50",Bali,Budaya,100000,"Jl. Raya Pujung Kaja, Sebatu, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",
Goa Lawah Temple,"https://www.google.com/maps/place/Goa+Lawah+Temple/@-8.5515731,115.4688279,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd212002b27b8a9:0x64d9703162191aad!8m2!3d-8.5515375!4d115.468823!16s%2Fg%2F11g9swjzff?authuser=0&hl=en","4,50",Bali,"Safari, Alam",25000,"CFX9+9GG, Jl. Raya Goa Lawah, Pesinggahan, Kec. Dawan, Kabupaten Klungkung, Bali 80761",
Pantai Batu Bolong,"https://www.google.com/maps/place/Pantai+Batu+Bolong/@-8.6594822,115.1301361,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd2478621f5b693:0xa157bd1e893b4293!8m2!3d-8.6594824!4d115.1301361!16s%2Fg%2F1hc2cr7jt?authuser=0&hl=en","4,50",Bali,"Safari, Alam",5000,"Jl. Pantai Batu Bolong, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",
Rumah Alam Manado Adventure Park,https://www.google.com/maps/place/Rumah+Alam+Manado+Adventure+Park/data=!4m7!3m6!1s0x32870ae6032ce7fd:0x58f62a46a66c2af5!8m2!3d1.4779664!4d124.8910598!16s%2Fg%2F11c5486b6r!19sChIJ_ecsA-YKhzIR9SpspkYq9lg?authuser=0&hl=id&rclk=1,"4,30",Manado,Alam,25000,"Jl. Ring Road Jaga IX No.Km, RW.1, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Rumah Alam Manado Adventure Park
Taman Berkat (GODBLESS PARK) Manado,https://www.google.com/maps/place/Taman+Berkat+%28GODBLESS+PARK%29+Manado/data=!4m7!3m6!1s0x328774e27be9fffb:0xef7a11077c4f24dd!8m2!3d1.4673016!4d124.8290758!16s%2Fg%2F11c3j5btml!19sChIJ-__pe-J0hzIR3SRPfAcReu8?authuser=0&hl=id&rclk=1,"4,50",Manado,Alam,35000,,
CitraLand WaterPark Manado,https://www.google.com/maps/place/CitraLand+WaterPark+Manado/data=!4m7!3m6!1s0x328774a7d2fa5cf7:0xebad79afcd5d0307!8m2!3d1.4416774!4d124.8471904!16s%2Fg%2F11clkmwdgr!19sChIJ91z60qd0hzIRBwNdza95res?authuser=0&hl=id&rclk=1,"4,50",Manado,"Ekstrem, Wahana",35000,"CitraLand City of Blessings, Jl. Royal Mansion 2, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",CitraLand WaterPark Manado
Pantai Tatiala,https://www.google.com/maps/place/Pantai+Tatiala/data=!4m7!3m6!1s0x32879fe530463ad7:0x2ee32d4cd6509d0e!8m2!3d1.5387726!4d124.8255353!16s%2Fg%2F11h4v5rfkc!19sChIJ1zpGMOWfhzIRDp1Q1kwt4y4?authuser=0&hl=id&rclk=1,"4,70",Manado,"Air, Wahana, Anak",0,"GRQG+G63, Molas, Batu Hitam, Kec. Bunaken, Kota Manado, Sulawesi Utara, Indonesia",Pantai Tatiala
Monumen Yesus Memberkati,https://www.google.com/maps/place/Monumen+Yesus+Memberkati/data=!4m7!3m6!1s0x32877358a15585bb:0x9033701afd5bccf6!8m2!3d1.4379884!4d124.847646!16s%2Fm%2F03h1f3y!19sChIJu4VVoVhzhzIR9sxb_RpwM5A?authuser=0&hl=id&rclk=1,"4,70",Manado,Alam,10000,"CRQX+53R, Winangun Satu, Malalayang, Manado City, North Sulawesi, Indonesia",Yesus Memberkati Statue
Tugu Lilin,https://www.google.com/maps/place/Tugu+Lilin/data=!4m7!3m6!1s0x328775685c8c2137:0x8e76f1048d97e550!8m2!3d1.49447!4d124.8381266!16s%2Fg%2F11bxfydqm7!19sChIJNyGMXGh1hzIRUOWXjQTxdo4?authuser=0&hl=id&rclk=1,"4,30",Manado,"Safari, Alam",25000,"CRJ4+G6Q, Penumping, Laweyan, Surakarta City, Central Java, Indonesia",Tugu Lilin Solo
Pantai Malalayang,https://www.google.com/maps/place/Pantai+Malalayang/data=!4m7!3m6!1s0x328774393408552f:0x7fd2a1cdf718aaf4!8m2!3d1.4601924!4d124.7947918!16s%2Fg%2F11btvb9vwt!19sChIJL1UINDl0hzIR9KoY982h0n8?authuser=0&hl=id&rclk=1,"4,40",Manado,Sejarah,5000,"Jalan Laut Sulawesi, Malalayang Dua, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",Pantai Malalayang
Taman Hutan Raya Gunung Tumpa H. V. Worang,https://www.google.com/maps/place/Taman+Hutan+Raya+Gunung+Tumpa+H.+V.+Worang/data=!4m7!3m6!1s0x32879f33708e3bc1:0x2412496e9a9ead5e!8m2!3d1.5628181!4d124.833402!16s%2Fg%2F11c0rn22c_!19sChIJwTuOcDOfhzIRXq2emm5JEiQ?authuser=0&hl=id&rclk=1,"4,50",Manado,Kuliner,5000,"HR7M+49C, Tongkeina, Bunaken, Manado City, North Sulawesi, Indonesia",Taman Hutan Raya Gunung Tumpa H. V. Worang
UPTD Museum Negeri Propinsi Sulawesi Utara,https://www.google.com/maps/place/UPTD+Museum+Negeri+Propinsi+Sulawesi+Utara/data=!4m7!3m6!1s0x3287753f5d72d9e1:0xe39fdffb28a81e59!8m2!3d1.4882647!4d124.844635!16s%2Fg%2F11fctqv318!19sChIJ4dlyXT91hzIRWR6oKPvfn-M?authuser=0&hl=id&rclk=1,"4,20",Manado,Alam,5000,"Jl. W.R. Supratman No.72, Lawangirung, Kec. Wenang, Kota Manado, Sulawesi Utara 95123, Indonesia",UPTD Museum Negeri Propinsi Sulawesi Utara
Tugu Zero Point,https://www.google.com/maps/place/Tugu+Zero+Point/data=!4m7!3m6!1s0x3287756a14fad65d:0x2190e52b2c3f08f!8m2!3d1.4907186!4d124.8391432!16s%2Fg%2F11bxd7f75q!19sChIJXdb6FGp1hzIRj_DDslIOGQI?authuser=0&hl=id&rclk=1,"4,40",Manado,Alam,5000,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",Zero Point
Malalayang Beach Walk,https://www.google.com/maps/place/Malalayang+Beach+Walk/data=!4m7!3m6!1s0x3287756fb98eda8f:0x344bb8e96b91f010!8m2!3d1.461522!4d124.7881996!16s%2Fg%2F11tc1wm2tc!19sChIJj9qOuW91hzIREPCRa-m4SzQ?authuser=0&hl=id&rclk=1,"4,50",Manado,Alam,0,"FQ6Q+5XX, Jl. Wolter Monginsidi No.83, Malalayang Dua, Kec. Malalayang, Kota Manado, Sulawesi Utara 95162, Indonesia",Malalayang Beach Walk
Klenteng Ban Hin Kiong,https://www.google.com/maps/place/Klenteng+Ban+Hin+Kiong/data=!4m7!3m6!1s0x3287754370ffe5ab:0xaeac4b34c81dfef!8m2!3d1.4940102!4d124.8447537!16s%2Fg%2F11c5_8kfsj!19sChIJq-X_cEN1hzIR79-BTLPE6go?authuser=0&hl=id&rclk=1,"4,60",Manado,Healing,5000,"FRVV+JW2, Jl. D. I. Panjaitan, Calaca, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",Ban Hing Kiong Temple Manado
Golden Kolam golden jumbo,https://www.google.com/maps/place/Golden+Kolam+golden+jumbo/data=!4m7!3m6!1s0x328774cbd66e7963:0xa501b3a703f41153!8m2!3d1.4575557!4d124.8570788!16s%2Fg%2F11g9dfvy6p!19sChIJY3lu1st0hzIRUxH0A6ezAaU?authuser=0&hl=id&rclk=1,"4,20",Manado,Kuliner,15000,"FV54+2RG Valley, Tingkulu, Kec. Wanea, Kota Manado, Sulawesi Utara 95119, Indonesia",Golden Lake WaterPark
Air Terjun Kima Atas,https://www.google.com/maps/place/Air+Terjun+Kima+Atas/data=!4m7!3m6!1s0x3287a1a3ffffffff:0xb30948ca3650e18e!8m2!3d1.5567479!4d124.897046!16s%2Fg%2F11c60b5bng!19sChIJ_____6OhhzIRjuFQNspICbM?authuser=0&hl=id&rclk=1,"4,00",Manado,Sejarah,10000,"Kima Atas, Mapanget, Manado City, North Sulawesi, Indonesia",Air Terjun Kima Atas
Taman Sindulang,https://www.google.com/maps/place/Taman+Sindulang/data=!4m7!3m6!1s0x3287755e8c7ae74b:0x19c26e37a84fa55!8m2!3d1.5004299!4d124.843483!16s%2Fg%2F11c6fc0dcv!19sChIJS-d6jF51hzIRVfqEeuMmnAE?authuser=0&hl=id&rclk=1,"4,40",Manado,Pantai,15000,"GR2V+59H, Sindulang Satu, Tuminting, Manado City, North Sulawesi, Indonesia",Taman Sindulang
Monumen HV. Worang,https://www.google.com/maps/place/Monumen+HV.+Worang/data=!4m7!3m6!1s0x32879f3353339807:0xff797e88f6236902!8m2!3d1.5678582!4d124.8343628!16s%2Fg%2F11dym8c5s1!19sChIJB5gzUzOfhzIRAmkj9oh-ef8?authuser=0&hl=id&rclk=1,"4,40",Manado,Budaya,0,"HR9M+4PX, Tongkeina, Bunaken, Manado City, North Sulawesi, Indonesia",Monumen HV. Worang
Taman Nasional Bunaken,https://www.google.com/maps/place/Taman+Nasional+Bunaken/data=!4m7!3m6!1s0x2d7873db0880843f:0x606df49ef663eff7!8m2!3d1.6193013!4d124.766174!16s%2Fm%2F09k6gb3!19sChIJP4SACNtzeC0R9-9j9p70bWA?authuser=0&hl=id&rclk=1,"4,60",Manado,Alam,1300,"Kawasan Youth center, Pelabuhan Marina plazaa, Mega mas kawasan, Manado City, North Sulawesi, Indonesia","Taman Nasional Bunaken adalah taman laut yang terletak di Sulawesi Utara, Indonesia. Taman ini terletak di Segitiga Terumbu Karang yang menjadi habitat bagi 390 spesies terumbu karang[2] dan juga berbagai spesies ikan, moluska, reptil, dan mamalia laut. Taman Nasional Bunaken merupakan perwakilan ekosistem laut Indonesia, meliputi padang rumput laut, terumbu karang, dan ekosistem pantai."
Bukit Merese,https://www.google.com/maps/place/Bukit+Merese/data=!4m7!3m6!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc!8m2!3d-8.9139299!4d116.3190063!16s%2Fg%2F11c1p92mc8!19sChIJn1laO6izzS0RzIjQ0qj2jA8?authuser=0&hl=id&rclk=1,"4,70",Lombok,"Air, Wahana, Anak",20000,"Jl. Kuta Lombok, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573, Indonesia",Bukit Merese
Pantai Kuta Lombok,https://www.google.com/maps/place/Pantai+Kuta+Lombok/data=!4m7!3m6!1s0x2dcda9d5c27174e5:0x7189bdd6dc8af5b!8m2!3d-8.8947518!4d116.2831703!16s%2Fg%2F122jkpp4!19sChIJ5XRxwtWpzS0RW6_Ibd2bGAc?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,5000,"Kuta Beach, Kuta, Pujut, Central Lombok Regency, West Nusa Tenggara 83573, Indonesia",Kuta Beach
Air Terjun Sendang Gile,https://www.google.com/maps/place/Air+Terjun+Sendang+Gile/data=!4m7!3m6!1s0x2dcdd5ff50d5ce0f:0x21a902b2770f8633!8m2!3d-8.3062412!4d116.4083416!16s%2Fm%2F064m26z!19sChIJD87VUP_VzS0RM4YPd7ICqSE?authuser=0&hl=id&rclk=1,"4,60",Lombok,Alam,10000,"MCV5+G84 Air Terjun Sendang Gile, Senaru, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354, Indonesia",Sendang Gile Waterfall
Pink Beach Lombok,https://www.google.com/maps/place/Pink+Beach+Lombok/data=!4m7!3m6!1s0x2dcc4e8b7d3e1b23:0xf558da0a9b5eef39!8m2!3d-8.8553743!4d116.5622498!16s%2Fg%2F1q5glq9s2!19sChIJIxs-fYtOzC0ROe9emwraWPU?authuser=0&hl=id&rclk=1,"4,30",Lombok,Pantai,10000,"Pink Beach, Sekaroh, Jerowaru, East Lombok Regency, West Nusa Tenggara 83672, Indonesia",Pink Beach
Pantai Seger Kuta Lombok,https://www.google.com/maps/place/Pantai+Seger+Kuta+Lombok/data=!4m7!3m6!1s0x2dcd07688be32eb3:0x4a2b5a1298bb615b!8m2!3d-8.907198!4d116.2970394!16s%2Fg%2F11cjh_bn9b!19sChIJsy7ji2gHzS0RW2G7mBJaK0o?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,5000,"Kuta, Pujut, Kuta, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573, Indonesia",Pantai Seger Kuta Lombok
Pantai Senggigi,https://www.google.com/maps/place/Pantai+Senggigi/data=!4m7!3m6!1s0x2dcde9d6e28dfec9:0xcc02a56300f22ec9!8m2!3d-8.4787343!4d116.0376085!16zL20vMDh4cnYw!19sChIJyf6N4tbpzS0RyS7yAGOlAsw?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,15000,"Senggigi Beach, West Nusa Tenggara, Indonesia",Senggigi Beach
Batu Payung,https://www.google.com/maps/place/Batu+Payung/data=!4m7!3m6!1s0x2dcd00cdd5c5fe69:0xed359128bc2138aa!8m2!3d-8.9192726!4d116.3308979!16s%2Fg%2F11b7yq8_zj!19sChIJaf7F1c0AzS0RqjghvCiRNe0?authuser=0&hl=id&rclk=1,"4,40",Lombok,Alam,10000,"Jalan Kuta Lombok, Kec. Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83573, Indonesia",Batu Payung
Pantai Ampenan,https://www.google.com/maps/place/Pantai+Ampenan/data=!4m7!3m6!1s0x2dcdc06842df13d1:0xd9bbf04ab3a4402a!8m2!3d-8.5693547!4d116.0719274!16s%2Fg%2F11b7v_jk23!19sChIJ0RPfQmjAzS0RKkCks0rwu9k?authuser=0&hl=id&rclk=1,"4,20",Lombok,Pantai,15000,"Pantai Ampenan, Jl. Pabean, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar., Indonesia",Pantai Ampenan
Pantai Mawun,https://www.google.com/maps/place/Pantai+Mawun/data=!4m7!3m6!1s0x2dcd08008a2d7707:0x2d200c65a5e5a3cd!8m2!3d-8.9001329!4d116.2296696!16s%2Fg%2F11bc8dgj1s!19sChIJB3ctigAIzS0RzaPlpWUMIC0?authuser=0&hl=id&rclk=1,"4,20",Lombok,Pantai,10000,"Mawun Beach, West Nusa Tenggara, Indonesia",Mawun Beach
Pantai Tanjung Aan,https://www.google.com/maps/place/Pantai+Tanjung+Aan/data=!4m7!3m6!1s0x2dcd00b5b1b198b7:0xa4020552d97fc866!8m2!3d-8.909508!4d116.3288353!16s%2Fg%2F11gf62smhd!19sChIJt5ixsbUAzS0RZsh_2VIFAqQ?authuser=0&hl=id&rclk=1,"4,60",Lombok,Pantai,0,"Tanjung Aan Beach, West Nusa Tenggara, Indonesia",Tanjung Aan Beach
Gn. Rinjani,https://www.google.com/maps/place/Gn.+Rinjani/data=!4m7!3m6!1s0x2dcc2d800216cccf:0x3c03cdbf11d30a1e!8m2!3d-8.4112952!4d116.4573488!16zL20vMDR4bHBi!19sChIJz8wWAoAtzC0RHgrTEb_NAzw?authuser=0&hl=id&rclk=1,"4,60",Lombok,Gunung,7000,"Mount Rinjani, Sembalun Lawang, Sembalun, East Lombok Regency, West Nusa Tenggara, Indonesia",Mount Rinjani
Taman Wisata Pusuk Sembalun (Tourist Park),https://www.google.com/maps/place/Taman+Wisata+Pusuk+Sembalun+%28Tourist+Park%29/data=!4m7!3m6!1s0x2dcc31485c05687f:0x39e62678d75c6c75!8m2!3d-8.4151495!4d116.5382383!16s%2Fg%2F11swlx_wz1!19sChIJf2gFXEgxzC0RdWxc13gm5jk?authuser=0&hl=id&rclk=1,"4,70",Lombok,Alam,5000,,
Gili Trawangan,https://www.google.com/maps/place/Gili+Trawangan/data=!4m7!3m6!1s0x2dcde0ab4ff1579f:0xfcea7c174732d4b2!8m2!3d-8.3482917!4d116.0384335!16zL20vMDdkeDIx!19sChIJn1fxT6vgzS0RstQyRxd86vw?authuser=0&hl=id&rclk=1,"4,50",Lombok,pantai,700000,"Gili Trawangan, Gili Indah, Pemenang, North Lombok Regency, West Nusa Tenggara, Indonesia","Gili Trawangan adalah salah satu dari Tiga Gili yang ada di bagian barat laut Pulau Lombok, bersama dengan Gili Air dan Gili Meno atau yang juga disebut sebagai Pesona Gili Tramena (Trawangan, Meno, dan Air).[1] Secara administrasi, Gili Trawangan berada di Kecamatan Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat. Gili Trawangan menjadi salah satu daerah wisata yang populer di Indonesia. Salah satu daya tarik utama dari Gili Trawangan adalah aturan bebas polusinya, yaitu tidak ada kendaraan bermotor yang diizinkan untuk beroperasi di pulau ini.[5] Alat transportasi yang dapat digunakan di pulau ini adalah sepeda atau cidomo."
Pantai Selong Belanak,https://www.google.com/maps/place/Pantai+Selong+Belanak/data=!4m7!3m6!1s0x2dcda718f67f4275:0x5785a4de937d7c93!8m2!3d-8.8730351!4d116.1624384!16s%2Fg%2F1pzx7k_pz!19sChIJdUJ_9hinzS0Rk3x9k96khVc?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,10000,"Selong Belanak Beach, Selong Belanak, Praya Barat, Central Lombok Regency, West Nusa Tenggara 83572, Indonesia",Selong Belanak Beach
Taman Mayura,https://www.google.com/maps/place/Taman+Mayura/data=!4m7!3m6!1s0x2dcdbf55ba2246e3:0xbac01b7b9fad8c65!8m2!3d-8.5868261!4d116.1330549!16s%2Fg%2F11c0q0_w91!19sChIJ40YiulW_zS0RZYytn3sbwLo?authuser=0&hl=id&rclk=1,"4,40",Lombok,Sejarah,10000,"Jl. Purbasari No.29, Mayura, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239, Indonesia",Mayura Park
Bukit Selong,https://www.google.com/maps/place/Bukit+Selong/data=!4m7!3m6!1s0x2dcc2f000083f4f9:0x579df1089fccb2fd!8m2!3d-8.3652742!4d116.5400344!16s%2Fg%2F11y4ntldw9!19sChIJ-fSDAAAvzC0R_bLMnwjxnVc?authuser=0&hl=id&rclk=1,"4,60",Lombok,Alam,3000,"JGPQ+5V3, Sembalun Lawang, Sembalun, East Lombok Regency, West Nusa Tenggara 83656, Indonesia",Bukit Selong
Alam Aiknyet,https://www.google.com/maps/place/Wisata+Alam+Aiknyet/data=!4m7!3m6!1s0x2dcdc98613350d7b:0xb34948c6e7dd2f72!8m2!3d-8.5336096!4d116.2391481!16s%2Fg%2F11c2n9znh3!19sChIJew01E4bJzS0Rci_d58ZISbM?authuser=0&hl=id&rclk=1,"4,40",Lombok,Alam,5000,"Aiknyet desa Buwun Sejati, Sesaot, Kec. Narmada, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83371, Indonesia",Wisata Alam Aiknyet
Bukit Pergasingan,https://www.google.com/maps/place/Bukit+Pergasingan/data=!4m7!3m6!1s0x2dcc321fd286476d:0x3a9263fd14e1cd13!8m2!3d-8.3454136!4d116.5330492!16s%2Fg%2F11c0vnpcv0!19sChIJbUeG0h8yzC0RE83hFP1jkjo?authuser=0&hl=id&rclk=1,"4,80",Lombok,Alam,10000,"Sembalun Lawang, Sembalun, Sembalun Lawang, Sembalun, East Lombok Regency, West Nusa Tenggara 83656, Indonesia",Pergasingan Hill - Hiking and Camping
Pantai Tebing (Cliff Beach),https://www.google.com/maps/place/Pantai+Tebing+%28Cliff+Beach%29/data=!4m7!3m6!1s0x2dcdd90b2c35b18b:0xa3710d1d09792c3!8m2!3d-8.288066!4d116.215653!16s%2Fg%2F11rfnxmxx3!19sChIJi7E1LAvZzS0Rw5KX0NEQNwo?authuser=0&hl=id&rclk=1,"3,30",Lombok,Pantai,25000,,
Pantai malimbu,https://www.google.com/maps/place/Pantai+malimbu/data=!4m7!3m6!1s0x2dcde9f3383323ab:0x8c61ba4ccdb72fae!8m2!3d-8.441847!4d116.0381002!16s%2Fg%2F11fjmf1d41!19sChIJqyMzOPPpzS0Rri-3zUy6YYw?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,0,"Jl. Raya Senggigi Malimbu No.99, Malaka, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia",Pantai malimbu
Taman Alam Gunung Tunak,https://www.google.com/maps/place/Taman+Wisata+Alam+Gunung+Tunak/data=!4m7!3m6!1s0x2dcd012208af48f9:0xe5c8e47a8812279e!8m2!3d-8.9110513!4d116.3809577!16s%2Fg%2F11hzynz3br!19sChIJ-UivCCIBzS0RnicSiHrkyOU?authuser=0&hl=id&rclk=1,"4,30",Lombok,Alam,5000,"Mertak, Pujut, Central Lombok Regency, West Nusa Tenggara 83573, Indonesia",Taman Wisata Alam Gunung Tunak
Pantai merese,https://www.google.com/maps/place/Pantai+merese/data=!4m7!3m6!1s0x2dcd07a747e7ac7b:0x89028349e85d4629!8m2!3d-8.9097429!4d116.3209134!16s%2Fg%2F11qbfhj3m0!19sChIJe6znR6cHzS0RKUZd6EmDAok?authuser=0&hl=id&rclk=1,"4,90",Lombok,Pantai,10000,"38RC+493, Kuta, Pujut, Central Lombok Regency, West Nusa Tenggara, Indonesia",Pantai merese
Wisata Bunut ngengkang,https://www.google.com/maps/place/Wisata+Bunut+ngengkang/data=!4m7!3m6!1s0x2dcdb9a1974ecbc3:0x6ffde1e479f14570!8m2!3d-8.5336071!4d116.2449695!16s%2Fg%2F11qrvw5thp!19sChIJw8tOl6G5zS0RcEXxeeTh_W8?authuser=0&hl=id&rclk=1,"4,40",Lombok,Alam,2000,"F67V+QCC Buwut Sejati, Sesaot, Narmada, West Lombok Regency, West Nusa Tenggara 83371, Indonesia",Bunut Ngengkang Attraction
Pantai Nambung,https://www.google.com/maps/place/Pantai+Nambung/data=!4m7!3m6!1s0x2dcda1c7fa099127:0x90f292854a9f4be5!8m2!3d-8.8691785!4d116.1038278!16s%2Fg%2F11j00jr8f2!19sChIJJ5EJ-sehzS0R5UufSoWS8pA?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,10000,"44J3+8GG, Montong Ajan, Praya Barat Daya, Nusa Tengg, Montong Ajan, Praya Barat Daya, Central Lombok Regency, West Nusa Tenggara, Indonesia",Nambung Beach
Gili Nanggu,https://www.google.com/maps/place/Gili+Nanggu/data=!4m7!3m6!1s0x2dcd97b24ee05beb:0xaacf06d6e793aadb!8m2!3d-8.7177778!4d116.0083333!16s%2Fg%2F121k2lf8!19sChIJ61vgTrKXzS0R26qT59YGz6o?authuser=0&hl=id&rclk=1,"4,60",Lombok,pantai,5000,"Gili Nangg, Sekotong Barat, Sekotong, West Lombok Regency, West Nusa Tenggara, Indonesia",Gili Nangg
Bukit Malimbu,https://www.google.com/maps/place/Bukit+Malimbu/data=!4m7!3m6!1s0x2dcdc2c7731c3dbf:0x62d07ed23293646c!8m2!3d-8.4419444!4d116.0663889!16s%2Fg%2F11c0pzspcp!19sChIJvz0cc8fCzS0RbGSTMtJ-0GI?authuser=0&hl=id&rclk=1,"4,50",Lombok,Alam,0,"Bukit Malimbu, Malaka, Pemenang, North Lombok Regency, West Nusa Tenggara, Indonesia",Bukit Malimbu
Pantai Mawi,https://www.google.com/maps/place/Pantai+Mawi/data=!4m7!3m6!1s0x2dcdb10555555555:0x2bd47be8a89b6a1d!8m2!3d-8.8833321!4d116.1599634!16s%2Fg%2F1pzrtv096!19sChIJVVVVVQWxzS0RHWqbqOh71Cs?authuser=0&hl=id&rclk=1,"4,40",Lombok,Pantai,10000,"Pantai Mawi, Jl. Pantai Mawi, Selong Belanak, Kec. Praya Bar., Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83572, Indonesia",Pantai Mawi
Rumah Pohon Gangga Murmas,https://www.google.com/maps/place/Rumah+Pohon+Gangga+Murmas/data=!4m7!3m6!1s0x2dcdda09735902e5:0xee15389887d2b49!8m2!3d-8.3513008!4d116.2271272!16s%2Fg%2F11c75yz92c!19sChIJ5QJZcwnazS0RSSt9iIlT4Q4?authuser=0&hl=id&rclk=1,"4,20",Lombok,Alam,5000,"J6XG+FVC, Genggelang, Gangga, North Lombok Regency, West Nusa Tenggara 83353, Indonesia",Rumah Pohon Gangga Murmas
"Air, Wahana, Anak Ditaman Wisata Aik Bukak",https://www.google.com/maps/place/Wisata+Air+Ditaman+Wisata+Aik+Bukak/data=!4m7!3m6!1s0x2dcdb5f235163c4b:0x446bec7e8356c34c!8m2!3d-8.5769458!4d116.3440092!16s%2Fg%2F11bwkm3zx3!19sChIJSzwWNfK1zS0RTMNWg37sa0Q?authuser=0&hl=id&rclk=1,"4,10",Lombok,"Air, Wahana, Anak",7000,"Jalan Pariwisata Aik Bukak Desa Aik Bukak Kecamatan Batukliang Utara, Aik Bukaq, Praya, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83550, Indonesia",Wisata Aik Bukak
Pantai Tanjung Bloam,https://www.google.com/maps/place/Pantai+Tanjung+Bloam/data=!4m7!3m6!1s0x2dccf8798e3d9395:0xc4b1c85f1903be4a!8m2!3d-8.8792522!4d116.5701922!16s%2Fg%2F11c53gjq3j!19sChIJlZM9jnn4zC0RSr4DGV_IscQ?authuser=0&hl=id&rclk=1,"4,40",Lombok,Pantai,7500,"Jl. Pantai Beloam, Tanjung Ringgit, Nusa Tenggara Bar, Jerowaru, Sekaroh, Lombok Timur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83672, Indonesia",Pantai Tanjung Bloam
Pantai Penyisok,https://www.google.com/maps/place/Pantai+Penyisok/data=!4m7!3m6!1s0x2dccf8ebb44b7e97:0x2e96b7f177f038e9!8m2!3d-8.8996192!4d116.5405961!16s%2Fg%2F11cs5kmgsh!19sChIJl35LtOv4zC0R6Tjwd_G3li4?authuser=0&hl=id&rclk=1,"4,50",Lombok,Pantai,10000,"Pantai Penyisok, lendang sekaroh,, Sekaroh, Jerowaru, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83672, Indonesia",Pantai Penyisok
Lombok Wildlife Park,https://www.google.com/maps/place/Lombok+Wildlife+Park/data=!4m7!3m6!1s0x2dcddc9a4848bdeb:0x9a28390d3aa878a2!8m2!3d-8.398185!4d116.126909!16s%2Fg%2F11g6rcn87m!19sChIJ671ISJrczS0RonioOg05KJo?authuser=0&hl=id&rclk=1,"4,50",Lombok,"Safari, Alam",200000,"Jalan Raya Tanjung Sire, Sigar Penjalin, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia",Lombok Wildlife Park
